------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
9224071,"(2659.0, 3469.0)",0.00023365020751953125,12320768
5152891,"(2267.0, 2273.0)",7.772445678710938e-05,12320768
11611997,"(2963.0, 3919.0)",8.225440979003906e-05,12320768
9024361,"(2719.0, 3319.0)",7.534027099609375e-05,12320768
11905279,"(3347.0, 3557.0)",0.00010895729064941406,12320768
11948191,"(3307.0, 3613.0)",8.749961853027344e-05,12320768
9152707,"(2963.0, 3089.0)",6.890296936035156e-05,12320768
15046831,"(3793.0, 3967.0)",0.00011920928955078125,12320768
12440543,"(3449.0, 3607.0)",0.0001049041748046875,12320768
7202623,"(2143.0, 3361.0)",0.00019478797912597656,12320768
14797147,"(3617.0, 4091.0)",8.654594421386719e-05,12320768
7848161,"(2099.0, 3739.0)",0.00015020370483398438,12320768
9002699,"(2693.0, 3343.0)",0.00010704994201660156,12320768
7410373,"(2657.0, 2789.0)",9.703636169433594e-05,12320768
8816411,"(2903.0, 3037.0)",0.00010132789611816406,12320768
8490551,"(2371.0, 3581.0)",0.00010204315185546875,12320768
9008399,"(2237.0, 4027.0)",0.00017595291137695312,12320768
8231117,"(2381.0, 3457.0)",0.00010442733764648438,12320768
8899547,"(2221.0, 4007.0)",0.0001735687255859375,12320768
8317481,"(2437.0, 3413.0)",9.72747802734375e-05,12320768
12123127,"(3361.0, 3607.0)",6.413459777832031e-05,12320768
8277583,"(2239.0, 3697.0)",9.942054748535156e-05,12320768
10339159,"(3049.0, 3391.0)",6.365776062011719e-05,12320768
13840837,"(3449.0, 4013.0)",7.104873657226562e-05,12320768
13872499,"(3529.0, 3931.0)",6.532669067382812e-05,12320768
9541621,"(2713.0, 3517.0)",7.295608520507812e-05,12320768
7465807,"(2347.0, 3181.0)",7.581710815429688e-05,12320768
15754441,"(3851.0, 4091.0)",6.29425048828125e-05,12320768
8572687,"(2161.0, 3967.0)",0.0001354217529296875,12320768
6986251,"(2269.0, 3079.0)",7.486343383789062e-05,12320768
9921539,"(3119.0, 3181.0)",8.20159912109375e-05,12320768
6380399,"(2357.0, 2707.0)",8.535385131835938e-05,12320768
12611647,"(3373.0, 3739.0)",8.177757263183594e-05,12320768
7221593,"(2141.0, 3373.0)",0.00013828277587890625,12320768
5664319,"(2371.0, 2389.0)",0.00012040138244628906,12320768
10207829,"(3181.0, 3209.0)",6.389617919921875e-05,12320768
10397533,"(2999.0, 3467.0)",0.00011968612670898438,12320768
9620267,"(2837.0, 3391.0)",8.130073547363281e-05,12320768
8841689,"(2389.0, 3701.0)",9.059906005859375e-05,12320768
10241573,"(2927.0, 3499.0)",6.628036499023438e-05,12320768
4558007,"(2069.0, 2203.0)",6.628036499023438e-05,12320768
12838769,"(3469.0, 3701.0)",6.246566772460938e-05,12320768
9600089,"(2777.0, 3457.0)",9.036064147949219e-05,12320768
12168649,"(3313.0, 3673.0)",8.416175842285156e-05,12320768
8043901,"(2579.0, 3119.0)",0.00013947486877441406,12320768
11341903,"(3329.0, 3407.0)",0.00011181831359863281,12320768
5678689,"(1.0, 5678689.0)",1.487043857574463,12320768
11680741,"(3271.0, 3571.0)",7.486343383789062e-05,12320768
10334603,"(2621.0, 3943.0)",9.489059448242188e-05,12320768
15120439,"(3727.0, 4057.0)",8.058547973632812e-05,12320768
11850389,"(2953.0, 4013.0)",8.082389831542969e-05,12320768
8840633,"(2621.0, 3373.0)",7.343292236328125e-05,12320768
11052229,"(2803.0, 3943.0)",0.00010251998901367188,12320768
6861563,"(2207.0, 3109.0)",9.202957153320312e-05,12320768
12802841,"(3499.0, 3659.0)",6.318092346191406e-05,12320768
7722433,"(2411.0, 3203.0)",8.082389831542969e-05,12320768
11760097,"(3323.0, 3539.0)",6.461143493652344e-05,12320768
9029749,"(2609.0, 3461.0)",7.62939453125e-05,12320768
12744779,"(3559.0, 3581.0)",6.318092346191406e-05,12320768
4909561,"(2099.0, 2339.0)",6.461143493652344e-05,12320768
9676547,"(2971.0, 3257.0)",6.413459777832031e-05,12320768
8247073,"(2789.0, 2957.0)",6.67572021484375e-05,12320768
11308931,"(3221.0, 3511.0)",6.508827209472656e-05,12320768
