------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
9224071,"(3469, 2659)",4.267692565917969e-05,0
5152891,"(2273, 2267)",3.337860107421875e-06,0
11611997,"(3919, 2963)",1.8358230590820312e-05,0
9024361,"(3319, 2719)",9.059906005859375e-06,0
11905279,"(3557, 3347)",3.0994415283203125e-06,0
11948191,"(3613, 3307)",3.814697265625e-06,0
9152707,"(3089, 2963)",2.384185791015625e-06,0
15046831,"(3967, 3793)",1.9073486328125e-06,0
12440543,"(3607, 3449)",2.384185791015625e-06,0
7202623,"(3361, 2143)",3.4332275390625e-05,0
14797147,"(4091, 3617)",6.198883056640625e-06,0
7848161,"(3739, 2099)",6.67572021484375e-05,0
9002699,"(3343, 2693)",1.049041748046875e-05,0
7410373,"(2789, 2657)",2.1457672119140625e-06,0
8816411,"(3037, 2903)",1.9073486328125e-06,0
8490551,"(3581, 2371)",6.031990051269531e-05,0
9008399,"(4027, 2237)",5.8650970458984375e-05,0
8231117,"(3457, 2381)",2.4318695068359375e-05,0
8899547,"(4007, 2221)",0.00013113021850585938,0
8317481,"(3413, 2437)",1.9788742065429688e-05,0
12123127,"(3607, 3361)",3.337860107421875e-06,0
8277583,"(3697, 2239)",4.076957702636719e-05,0
10339159,"(3391, 3049)",3.814697265625e-06,0
13840837,"(4013, 3449)",6.67572021484375e-06,0
13872499,"(3931, 3529)",4.291534423828125e-06,0
9541621,"(3517, 2713)",1.3828277587890625e-05,0
7465807,"(3181, 2347)",1.5735626220703125e-05,0
15754441,"(4091, 3851)",2.86102294921875e-06,0
8572687,"(3967, 2161)",6.103515625e-05,0
6986251,"(3079, 2269)",1.5735626220703125e-05,0
9921539,"(3181, 3119)",1.9073486328125e-06,0
6380399,"(2707, 2357)",5.0067901611328125e-06,0
12611647,"(3739, 3373)",3.814697265625e-06,0
7221593,"(3373, 2141)",3.24249267578125e-05,0
5664319,"(2389, 2371)",2.1457672119140625e-06,0
10207829,"(3209, 3181)",1.9073486328125e-06,0
10397533,"(3467, 2999)",5.9604644775390625e-06,0
9620267,"(3391, 2837)",7.867813110351562e-06,0
8841689,"(3701, 2389)",3.314018249511719e-05,0
10241573,"(3499, 2927)",7.62939453125e-06,0
4558007,"(2203, 2069)",3.0994415283203125e-06,0
12838769,"(3701, 3469)",2.6226043701171875e-06,0
9600089,"(3457, 2777)",1.0251998901367188e-05,0
12168649,"(3673, 3313)",4.0531158447265625e-06,0
8043901,"(3119, 2579)",7.152557373046875e-06,0
11341903,"(3407, 3329)",2.1457672119140625e-06,0
5678689,"(5678689, 1)",1.3120458126068115,0
11680741,"(3571, 3271)",2.574920654296875e-05,0
10334603,"(3943, 2621)",3.24249267578125e-05,0
