------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
2326706177,39847,0.02401137351989746,12840960
2098407403,44879,0.016236305236816406,12840960
2595694313,53233,0.0006208419799804688,12840960
1565129603,41729,0.005886554718017578,12840960
1712915497,37573,0.0015740394592285156,12840960
3509317919,57089,0.012441396713256836,12840960
3446333393,60661,0.11025094985961914,12840960
1868829877,40993,0.005377292633056641,12840960
2610071791,53857,0.0005049705505371094,12840960
2629006447,55351,0.002917051315307617,12840960
Media del tiempo: 0.017982077598571778
Media de la memoria: 12.24609375
------------ Tamaño: 40 -----------
Numero,Resultado,Tiempo,Memoria
926213359459,914579,0.0338282585144043,12840960
651656533501,738539,0.0065326690673828125,12840960
929533740803,974821,0.21957921981811523,12840960
492914708423,761377,0.8403987884521484,12840960
460344031729,575903,0.2636125087738037,12840960
527151042829,703139,0.6460554599761963,12840960
641616399707,662339,1.2619893550872803,12840960
367888838909,679907,0.0707852840423584,12840960
629930281889,720173,0.6117730140686035,12840960
401552602007,620773,0.019582509994506836,12840960
Media del tiempo: 0.39741370677947996
Media de la memoria: 12.24609375
------------ Tamaño: 44 -----------
Numero,Resultado,Tiempo,Memoria
7649068005941,2116019,0.043283700942993164,12840960
11652686667533,2898121,0.2240297794342041,12840960
7928959408477,2174321,0.2955188751220703,12840960
7219662332587,3153863,0.017493486404418945,12840960
11270984023499,3518353,0.12021422386169434,12840960
8843145759047,2935183,0.03389930725097656,12840960
6769463417767,2997509,0.6970548629760742,12840960
8455429430081,2228777,0.0019474029541015625,12840960
8194558628651,2759881,0.04606127738952637,12840960
8908522453769,2647157,0.731426477432251,12840960
Media del tiempo: 0.22109293937683105
Media de la memoria: 12.24609375
------------ Tamaño: 48 -----------
Numero,Resultado,Tiempo,Memoria
110374662292987,10599319,1.9312422275543213,12840960
160666531265971,13679933,0.03246474266052246,12840960
187292224431751,16636097,0.12137055397033691,12840960
145817686389229,13310833,2.2930634021759033,12840960
120685959081833,11267393,0.05273318290710449,12840960
88694735235979,10434811,1.5712144374847412,12840960
167604244402849,10567619,1.6139214038848877,12840960
133911825431767,9589487,0.004094839096069336,12840960
131150207718763,9569773,0.06653189659118652,12840960
73286361392903,8622707,0.016383886337280273,12840960
Media del tiempo: 0.7703020572662354
Media de la memoria: 12.24609375
------------ Tamaño: 52 -----------
Numero,Resultado,Tiempo,Memoria
2701875072397031,40552601,4.20207953453064,12840960
1687788324089509,40514531,0.062059879302978516,12840960
2388838954481869,53054879,1.6593737602233887,12840960
2484305666501851,45565283,1.0469350814819336,12840960
1581539099388197,39740717,2.5019993782043457,12840960
2618410120243987,67107461,0.007934093475341797,12840960
2568310539189443,43352711,0.9326090812683105,12840960
2085814065167611,38922539,0.02286553382873535,12840960
3527534942542801,54170023,1.7802159786224365,12840960
3141090041004211,49872827,2.855084180831909,12840960
Media del tiempo: 1.507115650177002
Media de la memoria: 12.24609375
------------ Tamaño: 56 -----------
Numero,Resultado,Tiempo,Memoria
47463284509797019,195148567,1.6249175071716309,12840960
53392335317333731,243971807,1.8949613571166992,12840960
46922569202210263,197937629,1.7514386177062988,12840960
66572397028900513,257418443,0.9155328273773193,12840960
26824064174693593,147567289,0.4480106830596924,12840960
47128800210808937,200390389,2.876850128173828,12840960
50513381559165409,235971139,1.7633397579193115,12840960
67871063209837487,262994071,0.29236459732055664,12840960
40842154923927499,161099189,2.7724151611328125,12840960
40564533961337927,213394481,0.9864466190338135,12840960
Media del tiempo: 1.5326277256011962
Media de la memoria: 12.24609375
------------ Tamaño: 60 -----------
Numero,Resultado,Tiempo,Memoria
901088480791020083,1066695307,2.0243139266967773,12840960
568819965508386013,542017159,0.4554002285003662,12840960
733838565371896861,972834661,0.24000048637390137,12840960
855755423574617887,920820577,3.9074909687042236,12840960
619549948132212677,580202629,1.9967546463012695,12840960
471981215873535553,749055991,1.01957106590271,12840960
420585517717633783,721723361,3.6891403198242188,12840960
509123959069071139,551464877,4.479486465454102,12840960
605265104599522063,772162789,7.859084844589233,12840960
763618151374994897,919522771,2.002460479736328,12840960
Media del tiempo: 2.767370343208313
Media de la memoria: 12.24609375
------------ Tamaño: 64 -----------
Numero,Resultado,Tiempo,Memoria
11670668481377794061,3849594493,2.842998743057251,12840960
9412866314496356669,3766510441,0.3461475372314453,12840960
9633541895038029827,3289982329,0.9002065658569336,12840960
10738519641632026259,3413026957,3.07767915725708,12840960
7623595168764191119,2655740431,2.1203386783599854,12840960
14331039136822767467,4165682783,2.590622901916504,12840960
14953398802534964749,3589224019,3.001800060272217,12840960
12557351701163770229,3518567467,0.09364938735961914,12840960
17295603783688662937,4163610511,9.584547281265259,12840960
9227319586514486887,2836708781,1.7775559425354004,12840960
Media del tiempo: 2.6335546255111693
Media de la memoria: 12.24609375
