------------ Tamaño: 24 -----------
Numero,Resultado,Tiempo,Memoria
9224071,2659,0,00026416778564453125,13762560
5152891,2273,0,00018358230590820312,13762560
11611997,3919,0,00012445449829101562,13762560
9024361,2719,0,00013780593872070312,13762560
11905279,3347,0,00010085105895996094,13762560
11948191,3613,9,894371032714844e-05,13762560
9152707,2963,8,916854858398438e-05,13762560
15046831,3967,0,00011706352233886719,13762560
12440543,3607,0,00011014938354492188,13762560
7202623,3361,0,00013017654418945312,13762560
14797147,3617,0,00011897087097167969,13762560
7848161,2099,0,0001289844512939453,13762560
9002699,2693,0,0001304149627685547,13762560
7410373,2657,0,00010395050048828125,13762560
8816411,2903,9,894371032714844e-05,13762560
8490551,3581,0,00019669532775878906,13762560
9008399,2237,0,0001251697540283203,13762560
8231117,2381,0,00012183189392089844,13762560
8899547,4007,0,00018548965454101562,13762560
8317481,2437,8,58306884765625e-05,13762560
12123127,3361,0,00012755393981933594,13762560
8277583,3697,8,177757263183594e-05,13762560
10339159,3049,9,250640869140625e-05,13762560
13840837,3449,0,00013637542724609375,13762560
13872499,3529,8,082389831542969e-05,13762560
9541621,3517,9,512901306152344e-05,13762560
7465807,2347,0,00011348724365234375,13762560
15754441,4091,0,00024008750915527344,13762560
8572687,3967,0,00013494491577148438,13762560
6986251,3079,8,273124694824219e-05,13762560
9921539,3181,0,00014901161193847656,13762560
6380399,2707,0,0001232624053955078,13762560
12611647,12611647,0,0001735687255859375,13762560
7221593,2141,0,00013327598571777344,13762560
5664319,2389,0,00010395050048828125,13762560
10207829,3209,0,0001723766326904297,13762560
10397533,2999,0,0001201629638671875,13762560
9620267,2837,0,00011920928955078125,13762560
8841689,2389,0,00010561943054199219,13762560
10241573,3499,8,58306884765625e-05,13762560
4558007,2069,6,914138793945312e-05,13762560
12838769,3701,6,628036499023438e-05,13762560
9600089,3457,0,0001430511474609375,13762560
12168649,3673,0,00011157989501953125,13762560
8043901,2579,0,00010347366333007812,13762560
11341903,3407,0,00013589859008789062,13762560
5678689,2383,0,0001633167266845703,13762560
11680741,3271,0,0001087188720703125,13762560
10334603,2621,0,00011420249938964844,13762560
15120439,3727,7,653236389160156e-05,13762560
11850389,2953,0,0001494884490966797,13762560
8840633,3373,8,702278137207031e-05,13762560
11052229,2803,0,00010442733764648438,13762560
6861563,2207,0,0001468658447265625,13762560
12802841,3499,8,559226989746094e-05,13762560
7722433,3203,0,00016808509826660156,13762560
11760097,3539,0,00011467933654785156,13762560
9029749,2609,0,00014328956604003906,13762560
12744779,3581,0,0001423358917236328,13762560
4909561,2099,0,00012731552124023438,13762560
9676547,3257,0,0001659393310546875,13762560
8247073,2957,0,00019931793212890625,13762560
11308931,3511,0,00019478797912597656,13762560
8669809,2137,0,00012493133544921875,13762560
8876389,3301,0,00010204315185546875,13762560
11347361,3167,0,0001614093780517578,13762560
11050433,3191,6,961822509765625e-05,13762560
6110417,2693,0,00015854835510253906,13762560
8237563,2473,9,894371032714844e-05,13762560
12529133,3697,0,00011038780212402344,13762560
11364589,3691,0,00016808509826660156,13762560
8353831,2663,0,0001437664031982422,13762560
8473081,3361,0,00016021728515625,13762560
13392157,4057,6,985664367675781e-05,13762560
8076883,2851,0,00014400482177734375,13762560
8929663,2539,0,00012731552124023438,13762560
6581101,2903,7,510185241699219e-05,13762560
11213171,4079,0,00011110305786132812,13762560
9170243,2753,0,00013184547424316406,13762560
8606167,2593,0,00015020370483398438,13762560
7119841,2551,0,00014543533325195312,13762560
11268371,2917,6,67572021484375e-05,13762560
9863977,3671,0,00012683868408203125,13762560
12850237,3259,9,417533874511719e-05,13762560
8020279,2099,0,00026226043701171875,13762560
8957209,3539,0,00016641616821289062,13762560
6212329,2851,0,00014328956604003906,13762560
8864677,3761,0,00026416778564453125,13762560
11313101,3889,0,00021648406982421875,13762560
9863681,3499,0,00012612342834472656,13762560
11741657,3301,0,000118255615234375,13762560
8464399,2671,8,916854858398438e-05,13762560
8668321,3917,8,511543273925781e-05,13762560
7453913,2857,0,00011849403381347656,13762560
12265663,3709,0,00013375282287597656,13762560
9054373,3881,0,0001380443572998047,13762560
14435581,3539,0,00016736984252929688,13762560
6910061,2741,0,00011944770812988281,13762560
8265967,3643,0,00010251998901367188,13762560
9321859,2749,0,00010466575622558594,13762560
Media del tiempo: 0,00012941837310791017
Media de la memoria: 13,125
------------ Tamaño: 32 -----------
Numero,Resultado,Tiempo,Memoria
2416294919,39313,0,0006940364837646484,13762560
2967346199,53629,0,0002651214599609375,13762560
2611897993,59333,0,0006470680236816406,13762560
3462448331,56527,0,00014019012451171875,13762560
2214426013,36523,0,00045108795166015625,13762560
3051655093,54877,0,00024628639221191406,13762560
2734894691,60793,0,00034737586975097656,13762560
1974317701,38449,0,00021839141845703125,13762560
3695287987,57803,0,0005552768707275391,13762560
2281944857,36899,7,891654968261719e-05,13762560
1748055457,43661,0,00032782554626464844,13762560
3369771527,57203,0,0006449222564697266,13762560
2616349943,48407,0,0003333091735839844,13762560
2310176831,44843,0,0005867481231689453,13762560
1801839989,48991,0,0003638267517089844,13762560
3682547831,60689,0,00019478797912597656,13762560
2038146037,39841,0,000125885009765625,13762560
2771028853,48119,0,00030422210693359375,13762560
2944546741,46181,0,00012874603271484375,13762560
1562325277,34843,0,0004353523254394531,13762560
2675161793,44249,0,0006055831909179688,13762560
2331791153,53441,0,0002167224884033203,13762560
2690181323,41879,0,0004017353057861328,13762560
2956575793,47059,0,0005061626434326172,13762560
1675518899,45013,0,00021147727966308594,13762560
1627329953,38653,0,0002315044403076172,13762560
2696211643,46867,0,00035572052001953125,13762560
2613324041,43591,0,0006244182586669922,13762560
3585233711,60497,0,0003082752227783203,13762560
1747094887,43291,0,0003838539123535156,13762560
1643240149,44987,0,0005505084991455078,13762560
3168029233,55843,0,00035691261291503906,13762560
3388171601,63823,0,00031280517578125,13762560
2283746771,37217,0,0003609657287597656,13762560
2364205799,38453,0,0002465248107910156,13762560
3142946321,53093,0,00038623809814453125,13762560
3301967129,56197,0,0002086162567138672,13762560
2218377211,56813,0,00028204917907714844,13762560
3024571787,53611,0,0005846023559570312,13762560
3282005621,65167,0,00034165382385253906,13762560
3417898921,64717,0,00028634071350097656,13762560
2454730673,47417,0,00023365020751953125,13762560
2107013539,49627,0,0007348060607910156,13762560
2841008759,44741,0,0002598762512207031,13762560
1214701333,35027,0,00029754638671875,13762560
2908861057,65033,0,000247955322265625,13762560
3283749319,64333,0,0001347064971923828,13762560
2437589383,41341,0,00028824806213378906,13762560
2443228517,38231,7,963180541992188e-05,13762560
2849346223,56963,0,00016689300537109375,13762560
1506286591,40343,0,0004341602325439453,13762560
2174372203,41243,0,00040411949157714844,13762560
2660225137,41507,0,000270843505859375,13762560
3695297797,65089,0,0004563331604003906,13762560
3016300561,58511,0,00024390220642089844,13762560
2241654439,45307,0,0005311965942382812,13762560
2328238109,47701,0,00038313865661621094,13762560
2028238783,40483,0,0003063678741455078,13762560
1329123043,40093,0,0002665519714355469,13762560
1430079113,38723,0,0001838207244873047,13762560
3039515077,64327,0,0002789497375488281,13762560
1864174769,33767,0,0007255077362060547,13762560
1290110243,36451,0,00027108192443847656,13762560
1424090693,40433,0,0001277923583984375,13762560
2900595179,46099,0,0006232261657714844,13762560
2130938987,33547,0,00014281272888183594,13762560
1826787631,38287,0,0003447532653808594,13762560
1925979943,51197,0,00035500526428222656,13762560
2138701333,37589,0,0005292892456054688,13762560
2153580139,34141,0,0003216266632080078,13762560
3876504769,61843,0,00022840499877929688,13762560
4248040033,65213,0,0010683536529541016,13762560
1601856121,41801,0,0003249645233154297,13762560
1537044227,33377,0,0004642009735107422,13762560
3017925577,47317,0,0001480579376220703,13762560
2342291423,41491,0,0001857280731201172,13762560
2991563761,61813,0,0003790855407714844,13762560
3417709963,58153,0,0003943443298339844,13762560
2104224121,33721,0,0005364418029785156,13762560
3170902897,60397,0,00023603439331054688,13762560
4113504223,62939,0,0002872943878173828,13762560
2143836103,33623,0,0003883838653564453,13762560
2744689133,43201,0,00039076805114746094,13762560
2550336077,47419,0,00029754638671875,13762560
1218063089,34361,0,00011467933654785156,13762560
2312308681,47431,0,0006475448608398438,13762560
2385262723,64601,0,00021147727966308594,13762560
2076898073,45589,0,0002484321594238281,13762560
2898562627,60509,0,0003058910369873047,13762560
1962339149,58363,0,0004928112030029297,13762560
2628724277,62617,0,0003533363342285156,13762560
3308720609,54881,0,0002689361572265625,13762560
3514141811,63647,0,0002918243408203125,13762560
3347706361,60811,0,0006277561187744141,13762560
1861019351,35677,0,00011372566223144531,13762560
2959420153,54919,0,0001480579376220703,13762560
1922797523,39779,0,00020694732666015625,13762560
2347689767,54647,0,0004391670227050781,13762560
2867006977,46681,0,0004570484161376953,13762560
3224888027,64891,0,0003829002380371094,13762560
Media del tiempo: 0,0003513598442077637
Media de la memoria: 13,125
------------ Tamaño: 40 -----------
Numero,Resultado,Tiempo,Memoria
362017749337,559093,0,0005140304565429688,13762560
733970589283,903701,0,00127410888671875,13762560
767155779287,760267,0,000579833984375,13762560
594502117397,961531,0,001417398452758789,13762560
517770941557,675221,0,002112150192260742,13762560
999556838299,997097,0,0016248226165771484,13762560
328226726999,526373,0,0006821155548095703,13762560
414583170949,565489,0,001397848129272461,13762560
573300324539,550969,0,0005724430084228516,13762560
571521341359,743221,0,0010876655578613281,13762560
407327274899,648911,0,0010330677032470703,13762560
899580715477,1007129,0,001316070556640625,13762560
532209710293,594889,0,0016913414001464844,13762560
580163282327,557269,0,0005786418914794922,13762560
644515309019,1031477,0,0010178089141845703,13762560
495668788421,674483,0,0007321834564208984,13762560
632091088357,716633,0,00043010711669921875,13762560
593513093977,720289,0,0006518363952636719,13762560
565080931091,626693,0,0017108917236328125,13762560
649053636533,789823,0,0007064342498779297,13762560
743819459233,920219,0,001455545425415039,13762560
806895568727,842147,0,0019559860229492188,13762560
713053501441,784939,0,0015614032745361328,13762560
673301240503,922357,0,0021562576293945312,13762560
380571235147,572657,0,0015594959259033203,13762560
712969771097,716951,0,0008840560913085938,13762560
523431267133,822161,0,0008592605590820312,13762560
390577385089,569869,0,0015208721160888672,13762560
987830778449,1031299,0,002859830856323242,13762560
403685092289,731299,0,0016789436340332031,13762560
961173483313,1002257,0,0006248950958251953,13762560
609601044379,730069,0,0022089481353759766,13762560
426332977597,621043,0,0010600090026855469,13762560
625161500503,880027,0,0013301372528076172,13762560
314519116453,572881,0,0008325576782226562,13762560
499241226751,858167,0,002933502197265625,13762560
639263676341,720899,0,002178668975830078,13762560
407981455223,580759,0,00035858154296875,13762560
493652870093,537373,0,0011625289916992188,13762560
611661773279,814883,0,0012013912200927734,13762560
529099862077,537637,0,0007014274597167969,13762560
