------------ Tamaño: 32 -----------
p,alpha,beta,resultado,tiempo,memoria
2703258601,87,1218285964,270357005,0.13431572914123535,19861504
2703258601,87,1034037786,204486838,0.13229942321777344,21983232
2703258601,87,146970801,1188712171,0.1348893642425537,22507520
2703258601,87,2477926049,1292823821,0.13544702529907227,22507520
2703258601,87,1028735461,259025660,0.1318345069885254,22507520
2703258601,87,2656939438,743495674,0.13273930549621582,22507520
2703258601,87,961518652,1228338976,0.1358332633972168,22507520
2703258601,87,1897406873,932521466,0.1353926658630371,22507520
2703258601,87,318981655,1269433071,0.13580822944641113,22507520
2703258601,87,1168307071,1009399288,0.1345221996307373,22507520
2703258601,87,1135767220,64253995,0.1304459571838379,22507520
2703258601,87,2262636539,213590935,0.130540132522583,22507520
2703258601,87,2044006605,1338757604,0.13663005828857422,22507520
2703258601,87,1374225481,634640442,0.1357109546661377,22507520
2703258601,87,1347945949,516533936,0.1339113712310791,22507520
2703258601,87,1225845620,703776013,0.1338670253753662,22507520
2703258601,87,1677491187,94003321,0.13075828552246094,22507520
2703258601,87,1923626201,600469142,0.1326899528503418,22507520
2703258601,87,1584645065,98055880,0.1307361125946045,22507520
2703258601,87,2655188682,991093705,0.13544750213623047,22507520
2703258601,87,1508173960,206520388,0.13111042976379395,22507520
2703258601,87,1516553962,722133628,0.13350343704223633,22507520
2703258601,87,2367898019,523993878,0.1322927474975586,22507520
2703258601,87,162067355,1118680245,0.13596081733703613,22507520
2703258601,87,650185787,944230273,0.13483309745788574,22507520
2703258601,87,2680114046,637322599,0.13328051567077637,22507520
2703258601,87,2583813854,391694124,0.1319878101348877,22507520
2703258601,87,1463572907,249958135,0.1306896209716797,22507520
2703258601,87,189782547,1282591448,0.13526153564453125,22507520
2703258601,87,1012010233,1350075024,0.13568973541259766,22507520
2703258601,87,533547320,378978375,0.1327662467956543,22507520
2703258601,87,1291037638,405246703,0.13178205490112305,22507520
2703258601,87,2653741833,634678663,0.13320350646972656,22507520
2703258601,87,1653128628,1039581404,0.13539505004882812,22507520
2703258601,87,1048561594,28193826,0.13127589225769043,22507520
2703258601,87,2028315626,883336313,0.13488054275512695,22507520
2703258601,87,329214853,445127928,0.13366317749023438,22507520
2703258601,87,1400513884,338134299,0.13262009620666504,22507520
2703258601,87,521938676,1254844216,0.13561511039733887,22507520
2703258601,87,903547238,754363388,0.13414287567138672,22507520
2703258601,87,2102333786,871171182,0.13450312614440918,22507520
2703258601,87,823125106,614088928,0.13341903686523438,22507520
